product_category,origin_country,destination_market,typical_fob_low_usd,typical_fob_high_usd,typical_wholesale_price_low_usd,typical_wholesale_price_high_usd,typical_retail_price_low_usd,typical_retail_price_high_usd,vat_or_sales_tax_percent,typical_moq_units,packaging_type,margin_hint,last_updated
KR snack - shrimp chips,South Korea,United States,0.25,0.45,0.8,1.2,1.5,2.5,8.5,5000,bags in carton,high-margin impulse snack,2025-11-30
KR ramen,South Korea,United States,0.4,0.7,1.0,1.5,1.8,2.8,6.0,10000,cups in box,medium-margin staple,2025-11-30
KR cookies,South Korea,United States,0.8,1.2,1.8,2.5,3.0,4.5,8.5,3000,boxes in carton,high-margin gift item,2025-11-30
KR spicy snacks,South Korea,United States,0.4,0.6,1.0,1.5,1.99,2.99,8.5,5000,bags in carton,high-margin niche,2025-11-30
korean_confectionery,South Korea,Germany,0.9,1.4,2.2,3.0,4.0,6.0,19.0,3000,boxes in carton,high-margin gift item,2025-11-30
KR snacks,South Korea,France,0.6,0.9,1.8,2.5,3.0,4.5,20.0,4000,bags in carton,medium-margin snack,2025-11-30
KR ramen,South Korea,Netherlands,0.55,0.85,1.3,2.0,2.2,3.8,21.0,8000,cups in box,medium-margin staple,2025-11-30
KR convenience snacks,South Korea,Japan,0.3,0.5,0.7,1.1,1.2,1.8,10.0,10000,bags in carton,thin-margin high-volume,2025-11-30
CN electronics - low value,China,United States,3.0,6.0,8.0,14.0,15.0,25.0,9.0,1000,bubble wrap in box,medium-margin electronics,2025-11-30
CN toys,China,United States,1.5,4.0,5.0,10.0,9.99,19.99,9.0,2000,polybag in carton,high-margin seasonal,2025-11-30
CN generic household goods,China,United States,0.8,2.0,2.5,5.0,4.99,9.99,8.0,3000,items in master carton,thin-margin commodity,2025-11-30
